City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,teofilo otoni,-17.8575,-41.5053,69.98,96,90,2.37,BR,1708406478
177,new norfolk,-42.7826,147.0587,74.7,57,100,4.54,AU,1708406479
178,santa elena de uairen,4.6167,-61.1333,67.23,68,84,5.35,VE,1708406479
179,roma,43.2128,-75.4557,13.66,88,0,0.0,US,1708406480
180,kavaratti,10.5669,72.642,83.01,70,30,11.86,IN,1708405949
181,hobyo,5.3505,48.5268,80.35,57,99,14.0,SO,1708405946
182,san martin,-33.081,-68.4681,81.14,39,78,5.61,AR,1708406481
183,yanchep,-31.55,115.6833,104.13,41,100,9.46,AU,1708406482
184,caluula,11.9661,50.7569,77.13,66,25,12.28,SO,1708406482
185,koumra,8.9126,17.5539,78.21,21,50,1.66,TD,1708406483
186,talnakh,69.4865,88.3972,-0.8,96,100,14.32,RU,1708405937
187,mpulungu,-8.7623,31.1141,72.66,82,72,4.0,ZM,1708406484
188,cidade velha,14.9167,-23.6167,73.87,68,0,17.27,CV,1708406485
189,bahir dar,11.5936,37.3908,71.1,33,73,2.42,ET,1708406485
190,iskateley,67.6803,53.1512,18.01,91,100,21.99,RU,1708406032
191,padang,-0.9492,100.3543,89.65,84,98,4.92,ID,1708406486
192,punta arenas,-53.15,-70.9167,53.71,87,100,20.71,CL,1708405920
193,san julian,21.0167,-102.1667,59.4,20,0,2.15,MX,1708406487
194,nar'yan-mar,67.6713,53.087,18.1,91,100,21.99,RU,1708405941
195,brokopondo,4.75,-55.1667,73.89,83,39,8.03,SR,1708406487
196,laboulaye,-34.1266,-63.3912,69.69,62,0,5.95,AR,1708406488
197,ugoofaaru,5.6667,73.0,83.16,74,42,13.09,MV,1708406488
198,pisco,-13.7,-76.2167,75.25,83,0,12.66,PE,1708406010
199,coquimbo,-29.9533,-71.3436,65.32,80,98,3.02,CL,1708405727
200,ndago,-4.6,34.35,65.14,89,53,3.44,TZ,1708406490
201,pochep,52.9336,33.4464,21.76,89,100,9.44,RU,1708406490
202,college,64.8569,-147.8028,41.32,65,75,8.05,US,1708405950
203,happy valley-goose bay,53.3168,-60.3315,4.48,86,100,13.73,CA,1708406068
204,chul'man,56.8479,124.9104,-10.21,88,100,12.39,RU,1708406491
205,uyuni,-20.4597,-66.825,51.1,77,100,7.74,BO,1708406491
206,namibe,-15.1961,12.1522,78.13,61,100,8.39,AO,1708406491
207,callaway,30.153,-85.5699,44.91,84,0,0.0,US,1708406491
208,garoua boulai,5.8833,14.55,68.25,31,13,2.66,CM,1708406491
209,chonchi,-42.6128,-73.8092,60.01,99,24,3.65,CL,1708405979
210,broome,42.2506,-75.833,17.98,81,0,0.0,US,1708406492
211,daru,-9.0763,143.2092,84.27,79,79,6.96,PG,1708406492
212,baalbek,34.0058,36.2181,39.25,88,8,2.42,LB,1708406492
213,ceerigaabo,10.6162,47.368,66.97,26,64,1.3,SO,1708406493
214,portland,45.5234,-122.6762,46.85,82,75,11.01,US,1708406227
215,razole,16.4833,81.8333,89.06,38,19,4.29,IN,1708406493
216,hami,42.8,93.45,21.11,32,100,7.16,CN,1708405992
217,bredasdorp,-34.5322,20.0403,68.83,74,16,2.24,ZA,1708405937
218,kpandu,6.9954,0.2931,80.35,79,2,4.68,GH,1708406494
219,vorgashor,67.5833,63.95,15.04,84,100,24.0,RU,1708405715
220,hannibal,39.7084,-91.3585,43.72,42,0,4.61,US,1708406495
221,sihanoukville,10.6093,103.5296,87.75,66,40,9.22,KH,1708406495
222,hilo,19.7297,-155.09,69.53,85,100,5.75,US,1708406495
223,rexburg,43.826,-111.7897,36.54,81,100,0.0,US,1708406443
224,al burayqah,30.4062,19.5739,56.07,66,0,2.73,LY,1708406013
225,vila franca do campo,37.7167,-25.4333,64.89,99,100,7.29,PT,1708406042
226,puerto ayacucho,5.6639,-67.6236,78.53,56,49,4.47,VE,1708406497
227,nabisar,25.0685,69.6419,79.74,45,21,14.36,PK,1708406498
228,belogorsk,50.9158,128.4611,-1.14,63,40,15.19,RU,1708406498
229,kyosai,34.8503,128.5886,46.36,84,100,22.93,KR,1708406498
230,vanino,49.0869,140.2543,2.93,61,61,15.12,RU,1708406219
231,soni,-4.85,38.3667,69.89,84,50,1.66,TZ,1708406499
232,rio grande,-32.035,-52.0986,69.94,78,13,8.81,BR,1708406499
233,pointe michel,15.25,-61.3833,79.0,71,76,12.17,DM,1708406499
234,upper grand lagoon,30.1633,-85.7408,45.0,88,0,0.0,US,1708406500
235,holualoa,19.6228,-155.9522,71.44,74,100,9.22,US,1708406500
